09.04.2026                                                                                                 Salida dinámica de lista                                                                                                                                                       1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	  Ancho	    Largo

	1204168	Mat	PPCMC1CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	1C	RG	VE	SD
	1204169	Mat	PPCMC2CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	2C	RG	VE	SD
	1205884	Mat	PPLMUPRRGVESD 23x148xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	148		         23,000	      148,000		 23,000	148,000
	1205885	Mat	PPLMUPRRGVESD 26x148xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	148		         26,000	      148,000		 26,000	148,000
	1205886	Mat	PPLMUPRRGVESD 23x98xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	98		         23,000	       98,000		 23,000	 98,000
	1205887	Mat	PPLMUPRRGVESD 26x98xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	98		         26,000	       98,000		 26,000	 98,000
	1205888	Mat	PPLMUPRRGVESD 23x157xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	157		         23,000	      157,000		 23,000	157,000
	1205889	Mat	PPLMUPRRGVESD 26x157xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	157		         26,000	      157,000		 26,000	157,000
	1205890	Mat	PPLMUPRRGSESD 23x157xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	157		         23,000	      157,000		 23,000	157,000
	1205891	Mat	PPLMUPRRGSESD 23x148xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	148		         23,000	      148,000		 23,000	148,000
	1205892	Mat	PPLMUPRRGSESD 26x148xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	148		         26,000	      148,000		 26,000	148,000
	1205893	Mat	PPLMUPRRGSESD 23x98xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	98		         23,000	       98,000		 23,000	 98,000
	1205894	Mat	PPLMUPRRGSESD 26x98xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	98		         26,000	       98,000		 26,000	 98,000
	1205895	Mat	PPCMAPRRGSESD 50x95xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	SE	SD	50	95		         50,000	       95,000		 50,000	 95,000
	1205897	Mat	PPCMASPRGVESD 26x118xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	26	118		         26,000	      118,000		 26,000	118,000
