23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200117	Mat	PPC4KDTRGIVG1 79x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	79	138	RL	         79,000	      138,000		 79,000	  138,000
	1200118	Mat	PPC4KDTRGIVG1 79x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	79	162	RL	         79,000	      162,000		 79,000	  162,000
	1200119	Mat	PPC4KDTRGIVG1 79x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	79	212	RL	         79,000	      212,000		 79,000	  212,000
	1200120	Mat	PPC4KDTRGIVG1 79x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	79	260	RL	         79,000	      260,000		 79,000	  260,000
	1200121	Mat	PPCLAL1RGSESD 43x97xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	SE	SD	43	97	RL	         43,000	       97,000		 43,000	   97,000
	1200122	Mat	PPCDTD1RGSESD 28x138xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	28	138	RL	         28,000	      138,000		 28,000	  138,000
	1200123	Mat	PPCDTD1RGSESD 28x110xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	SE	SD	28	110	RL	         28,000	      110,000		 28,000	  110,000
	1200124	Mat	PPCDTD1RGVESD 3x8xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	3	8	RL	         78,000	      207,000		 78,000	  207,000
	1200125	Mat	PPCDTD1RGVESD 3x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	3	6	RL	         78,000	      155,000		 78,000	  155,000
	1200126	Mat	PPCDTD1RGVESD 2x6xRL	PM_ASERRADERO	1	P	P	C	DT	D1	RG	VE	SD	2	6	RL	         52,000	      155,000		 52,000	  155,000
	1200127	Mat	PPCMCLARGVESD 106x128xRL	PM_ASERRADERO	1	P	P	C	MC	LA	RG	VE	SD	106	128	RL	        106,000	      128,000		106,000	  128,000
	1200128	Mat	PPCMCLARGVESD 98x155xRL	PM_ASERRADERO	1	P	P	C	MC	LA	RG	VE	SD	98	155	RL	         98,000	      155,000		 98,000	  155,000
	1200129	Mat	PPCLAL1RGVESD 24x128xRL	PM_ASERRADERO	1	P	P	C	LA	L1	RG	VE	SD	24	128	RL	         24,000	      128,000		 24,000	  128,000
	1200130	Mat	PPLRPNCS4SESD 5/4x3 3/4xRL	PM_ASERRADERO	1	P	P	L	RP	NC	S4	SE	SD	5/4	3 3/4	RL	         31,750	       95,300		 34,000	   95,300
	1200131	Mat	PPLRPPCS4SESD 5/4x3 3/4xRL	PM_ASERRADERO	1	P	P	L	RP	PC	S4	SE	SD	5/4	3 3/4	RL	         31,750	       95,300		 34,000	   95,300
	1200132	Mat	PPCMCLARGVESD 51x128xRL	PM_ASERRADERO	1	P	P	C	MC	LA	RG	VE	SD	51	128	RL	         51,000	      128,000		 51,000	  128,000
	1200133	Mat	PPCDTD2RGSEG2 1 5/8x6xRL	PM_ASERRADERO	1	P	P	C	DT	D2	RG	SE	G2	1 5/8	6	RL	         43,000	      153,000		 43,000	  153,000
	1200134	Mat	PPC4KDTRGISG1 2x6xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IM	G1	2	6	RL	         50,800	      152,400		 53,000	  162,000
