Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1207212;PPCMASTRGVESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
1207213;PPCMASTRGVESD 50x202xRL;MA;50.0;202.0;;MA50202;MA 50x202;True
1207214;PPCMASTRGSESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
1207215;PPCMASTRGSESD 50x148xRL;MA;50.0;148.0;;MA50148;MA 50x148;True
1207216;PPCMASTRGSESD 50x202xRL;MA;50.0;202.0;;MA50202;MA 50x202;True
1207221;PPCMASTRGVESD 42x98xRL;MA;42.0;98.0;;MA4298;MA 42x98;True
1207222;PPCMASTRGSESD 42x98xRL;MA;42.0;98.0;;MA4298;MA 42x98;True
1207225;PPCMASTRGVESD 42x148xRL;MA;42.0;148.0;;MA42148;MA 42x148;True
1207226;PPCMASTRGSESD 42x148xRL;MA;42.0;148.0;;MA42148;MA 42x148;True
1207231;PPCMASTRGVESD 42x95xRL;MA;42.0;95.0;;MA4295;MA 42x95;True
1207232;PPCMASTRGSESD 42x95xRL;MA;42.0;95.0;;MA4295;MA 42x95;True
1207233;PPCMASTRGVESD 42x194xRL;MA;42.0;194.0;;MA42194;MA 42x194;True
1207234;PPCMASTRGSESD 42x194xRL;MA;42.0;194.0;;MA42194;MA 42x194;True
1207281;PPCMASPRGVESD 21x148xRL;MA;21.0;148.0;;MA21148;MA 21x148;True
1207282;PPCMASPRGSESD 21x148xRL;MA;21.0;148.0;;MA21148;MA 21x148;True
1207299;PPCMASPRGVESD 23x75xRL;MA;23.0;75.0;;MA2375;MA 23x75;True
1207300;PPCMASPRGVESD 27x75xRL;MA;27.0;75.0;;MA2775;MA 27x75;True
1207321;PPCMASPRGVESD 42x75xRL;MA;42.0;75.0;;MA4275;MA 42x75;True
1207322;PPCMASPRGSESD 23x75xRL;MA;23.0;75.0;;MA2375;MA 23x75;True
1207323;PPCMASPRGSESD 27x75xRL;MA;27.0;75.0;;MA2775;MA 27x75;True
1207324;PPCMASPRGSESD 42x75xRL;MA;42.0;75.0;;MA4275;MA 42x75;True
1207334;PPCMASPRGVESD 95x95xRL;MA;95.0;95.0;;MA9595;MA 95x95;True
1207335;PPCMASPRGSESD 95x95xRL;MA;95.0;95.0;;MA9595;MA 95x95;True
1207341;PPCMASPRGVESD 55x155x4880;MA;55.0;155.0;;MA55155;MA 55x155;True
1207342;PPCMASPRGSESD 55x155x4880;MA;55.0;155.0;;MA55155;MA 55x155;True
1207351;PPCMASPRGVESD 21x150xRL;MA;21.0;150.0;;MA21150;MA 21x150;True
1207352;PPCMASPRGSESD 21x150xRL;MA;21.0;150.0;;MA21150;MA 21x150;True
1207381;PPCMASPRGVESD 23x77xRL;MA;23.0;77.0;;MA2377;MA 23x77;True
1207382;PPCMASPRGSESD 23x77xRL;MA;23.0;77.0;;MA2377;MA 23x77;True
1207392;PPCMASPRGVESD 50x95xRL;MA;50.0;95.0;;MA5095;MA 50x95;True
1207393;PPCMASPRGSESD 50x95xRL;MA;50.0;95.0;;MA5095;MA 50x95;True
1207483;PPCMASPRGVESD 21x202xRL;MA;21.0;202.0;;MA21202;MA 21x202;True
1207484;PPCMASPRGSESD 21x202xRL;MA;21.0;202.0;;MA21202;MA 21x202;True
1207544;PPCMASPRGVESD 26x156xRL;MA;26.0;156.0;;MA26156;MA 26x156;True
1207545;PPCMASPRGSESD 26x156xRL;MA;26.0;156.0;;MA26156;MA 26x156;True
1207551;PPCMASTRGVESD 23x104xRL;MA;23.0;104.0;;MA23104;MA 23x104;True
1207552;PPCMASTRGSESD 23x104xRL;MA;23.0;104.0;;MA23104;MA 23x104;True
1207553;PPCMASTRGVESD 23x129xRL;MA;23.0;129.0;;MA23129;MA 23x129;True
1207554;PPCMASTRGSESD 23x129xRL;MA;23.0;129.0;;MA23129;MA 23x129;True
1207562;PPCMASTRGVESD 23x194xRL;MA;23.0;194.0;;MA23194;MA 23x194;True
1207563;PPCMASTRGSESD 23x194xRL;MA;23.0;194.0;;MA23194;MA 23x194;True
1207571;PPCMASTRGVESD 23x150xRL;MA;23.0;150.0;;MA23150;MA 23x150;True
1207572;PPCMASTRGSESD 23x150xRL;MA;23.0;150.0;;MA23150;MA 23x150;True
1207573;PPCMASTRGVESD 23x202xRL;MA;23.0;202.0;;MA23202;MA 23x202;True
